name,initials,state,SIAFI,year,igc_cont_value,committed,settled,paid
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,26242,2017,3.763,1874140732.28,1753117767.8,1733125919.67
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,26244,2017,4.287,1806059551.66,1774173982.59,1768557927.08
UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,26247,2017,3.902,1375715305.34,1338881574.58,1337506135.91
UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,26233,2017,3.813,1710080556.55,1633180850.37,1624285779.2
UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,26235,2017,3.526,1466556475.28,1407934583.12,1402758711.26
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,26246,2017,4.078,1878496161.16,1761461386.74,1755524879.8
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,26245,2017,4.08,3961205354.67,3896209906.43,3863799762.14
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,26248,2017,3.502,771224309.44,646045490.29,644585155.06
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,RN,26264,2017,3.345,278939479.92,262708973.57,261968349.73
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,PA,26253,2017,3.066,222561133.16,216537528.34,214993337.02
UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,26262,2017,4.112,1358369968.54,1321014437.5,1318822923.98
UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,26263,2017,3.859,376404061.23,338169204.2,337826598.03
UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,MG,26260,2017,3.397,217401730.88,209971963.71,209669285.6
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,MG,26254,2017,3.432,577461458.76,546610792.69,544514067.78
UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,26278,2017,3.481,809185678.81,784997377.57,783231026.86
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,26283,2017,3.139,809638313.35,778065653.44,777671079.03
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,RO,26268,2017,2.815,275183748.9,259365425.51,258851817.01
FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,RS,26284,2017,3.872,158766713.57,139878143.12,139829938.09
UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,RR,26250,2017,2.697,217220672.74,197614824.71,197488010.52
UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,AP,26286,2017,2.54,187302728.91,169232838.11,168428167.2
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB,26252,2017,3.26,783390401.08,745167752.86,743425536.87
FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,TO,26251,2017,2.903,372767802.75,319974509.22,319851084.15
FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,PE,26230,2017,3.259,233398323.48,194277010.79,192418522.3
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,UFABC,SP,26352,2017,4.02,285249104.72,254227333.01,254092039.29
UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,PA,26441,2017,2.83,171529015.74,158360868.19,157899365.33
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,SC,26440,2017,3.418,257353286.85,234094730.16,234094730.16
UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIFESSPA,PA,26448,2017,2.626,111501428.83,101736861.86,101491106.27
UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,BA,26447,2017,2.961,98312244.05,91543352.36,90937049.86
UNIVERSIDADE FEDERAL DO CARIRI,UFCA,CE,26449,2017,2.807,103480172.65,92366233.35,92364633.35
