name,initials,state,SIAFI,year,igc_cont_value,committed,settled,paid
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,26276,2017,3.136,1053567715.85,1040366606.36,1034495072.23
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,26281,2017,3.151,759505092.13,707308401.25,699998580.7
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,26270,2017,2.921,791143864.33,751790582.87,741611762.87
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,PI,26279,2017,2.855,828934638.18,788736561.87,784838888.2
UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,26277,2017,3.413,423297091.16,409700622.99,409700622.99
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,26282,2017,3.939,911631936.12,879359037.21,878282916.32
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,26273,2017,3.453,602062134.74,578556879.47,571491787.84
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,26274,2017,3.691,1520391481.95,1469363330.17,1460581206.47
UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,MG,26285,2017,3.603,315183388.81,287251738.72,286751072.98
UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,26272,2017,3.005,874679288.19,835717600.61,832397705.89
UNIVERSIDADE FEDERAL DO ACRE,UFAC,AC,26275,2017,2.826,334502914.46,312682546.57,311749089.7
UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,26239,2017,3.247,1515330167.24,1450755765.44,1446558662.3
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,26243,2017,3.631,1966373815.41,1710686478.91,1706075089.57
UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,26241,2017,3.875,1893954405.97,1844296261.21,1834893933.41
UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,26236,2017,3.519,2316989181.97,2225221587.87,2214044835.93
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,26234,2017,3.439,1111701401.32,1084450026.61,1080778958.33
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,26249,2017,3.453,650281409.88,632346453.92,631153300.89
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,26238,2017,4.193,2493369364.61,2381251225.39,2369967436.96
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,26237,2017,3.757,1039073309.4,898343538.65,890714471.4
UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,26231,2017,2.952,967279215.1,928336881.81,922277493.53
UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,26232,2017,3.71,1897432893.51,1818934086.47,1810298568.29
UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,PB,26240,2017,3.466,1763069755.67,1716941444.99,1714190287.61
