name,initials,state,SIAFI,year,igc_cont_value,committed,settled,paid
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,26276,2016,3.078,933392799.41,900642830.06,896031372.78
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,26281,2016,3.118,701977746.94,640769350.6,633317671.68
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,26270,2016,2.879,750056136.38,684867194.44,681678764.66
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,PI,26279,2016,2.836,784246679.36,724060138.02,720785682.56
UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,26277,2016,3.434,391040475,373950469.89,373479954.75
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,26282,2016,3.939,832681726.36,808657659.28,807402968.99
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,26273,2016,3.303,541711916.98,522018689.73,516105053.14
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,26274,2016,3.651,1383250808.92,1328524625.49,1316212007.36
UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,MG,26285,2016,3.443,288093344.26,263485100.05,263418475.12
UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,26272,2016,2.974,888916247.44,833198952.25,816732606.75
UNIVERSIDADE FEDERAL DO ACRE,UFAC,AC,26275,2016,2.726,319874583.04,284328082.49,283881124.63
UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,26239,2016,3.164,1355045189.77,1310984955.02,1306457308.13
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,26243,2016,3.606,1647046513.93,1544567678.96,1538796767.64
UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,26241,2016,3.777,1720692512.52,1672090765.61,1653811542.39
UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,26236,2016,3.474,2055935988.38,2014037307.93,1961008645.82
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,26234,2016,3.356,1050286653.49,1008666366.25,1003520740.59
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,26249,2016,3.451,606463020.85,577889781.98,576414526.23
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,26238,2016,4.197,2286278590.73,2205470555.29,2183512762.17
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,26237,2016,3.775,930010659.12,833863747.03,832587054.58
UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,26231,2016,2.912,865411268.15,836357830.46,833393050.7
UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,26232,2016,3.658,1709151955.31,1646576111.22,1638092483.98
UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,PB,26240,2016,3.446,1594269732.04,1541922198.21,1541109519.72
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,26242,2016,3.766,1703639160.66,1609662100.59,1601762215.47
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,26244,2016,4.29,1679403252.12,1657180329.25,1653071999.76
UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,26247,2016,3.824,1243129340.13,1208631461.28,1204093906.01
UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,26233,2016,3.766,1628898455.85,1542011792.47,1535090814.35
UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,26235,2016,3.484,1413606277.62,1268908344.11,1262932432.4
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,26246,2016,4.078,1710350037.17,1616734600.21,1603882713.67
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,26245,2016,4.097,3780012652.45,3697705996.17,3675239730.96
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,26248,2016,3.418,635844199.38,576578560.19,574915409.69
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,RN,26264,2016,3.462,266637845.88,232070809.18,231322506.01
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,PA,26253,2016,2.873,188386343.71,178549405.28,177897705.71
UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,26262,2016,4.094,1278269278.81,1231376149.81,1226387439.99
UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,26263,2016,3.905,353593067.92,312028097.89,312012816.28
UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,MG,26260,2016,3.409,203152270.39,193008046.63,191936934.04
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,MG,26254,2016,3.495,522693242.1,492080979.58,482095539.56
UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,26278,2016,3.432,756421778.44,725951410.21,724103761.56
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,26283,2016,3.085,736190562.97,705234823.46,704867202.02
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,RO,26268,2016,2.816,256214137.34,231796996.37,231418197.45
FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,RS,26284,2016,3.793,146519751.93,129858763.87,129801517.29
UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,RR,26250,2016,2.66,210648406.6,187358910.61,187168429.22
UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,AP,26286,2016,2.492,295531026.29,155708508,152481142.68
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB,26252,2016,3.259,717204337.77,681901672.12,680248100.15
