name,initials,state,SIAFI,year,igc_cont_value,committed,settled,paid
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,26276,2015,3.07,826699711.62,791838828.44,777039370.93
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,26281,2015,3.068,617773191.21,594779675.85,583009154.27
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,26270,2015,2.845,699506715.6,664689646.57,653874311.2
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,PI,26279,2015,2.813,700588210.84,655808532.5,639295508.06
UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,26277,2015,3.529,364165882.76,352363348.88,349781671.04
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,26282,2015,4.01,776326029.45,757243856.28,744913252.28
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,26273,2015,3.29,498578016.89,470013030.7,460768657.38
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,26274,2015,3.644,1264562476.37,1233742349.05,1220205961.17
UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,MG,26285,2015,3.335,268020686.64,249893628.75,249168271.59
UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,26272,2015,2.858,831358697.87,788074395.85,758629277.05
UNIVERSIDADE FEDERAL DO ACRE,UFAC,AC,26275,2015,2.67,284764477.07,260625316.38,258280115.31
UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,26239,2015,3.078,1229638648.08,1195080042.87,1169349422.87
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,26243,2015,3.608,1531110582.22,1461068218.01,1436872999.5
UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,26241,2015,3.747,1634817752.66,1599125341.62,1563586075.11
UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,26236,2015,3.383,1897906420.64,1858024808.7,1844273123.4
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,26234,2015,3.302,979720625.55,934362353.83,918095946.32
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,26249,2015,3.446,555524269.32,535293981.77,531778350.18
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,26238,2015,4.189,2174441757.48,2099279279.84,2056197057.75
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,26237,2015,3.803,863554698.11,810594451.22,798154125.61
UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,26231,2015,2.873,842157404.17,797599316.24,782068292.97
UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,26232,2015,3.583,1666184223.32,1609587560.69,1565783031.74
UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,PB,26240,2015,3.428,1512257507.59,1450182409.76,1441903613.91
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,26242,2015,3.76,1582203537.43,1511446726.25,1496621373.17
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,26244,2015,4.267,1590160709.72,1542621800.43,1523522497.13
UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,26247,2015,3.808,1152440131.69,1120703662.69,1113047933.88
UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,26233,2015,3.712,1492337253.74,1427407219.97,1415001113.8
UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,26235,2015,3.459,1223687846.38,1178619477.31,1159854272.7
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,26246,2015,4.08,1541481178.42,1448671624.13,1434076298.1
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,26245,2015,4.104,3466337063.21,3385310573.17,3349486618.43
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,26248,2015,3.317,529881608.1,509086504.45,501232397.92
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,RN,26264,2015,3.461,229288975.35,209729383.5,207864183.54
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,PA,26253,2015,2.458,175166479.48,164005737.77,160904467.66
UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,26262,2015,4.132,1181865251.72,1140622080.17,1131153246.2
UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,26263,2015,3.815,307470118.79,276489544.5,274702938.93
UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,MG,26260,2015,3.404,185999177.67,176435671.97,176328930.6
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,MG,26254,2015,3.546,503543005.81,466220091.58,458078473.21
UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,26278,2015,3.398,711437416.04,678278990.03,664479169.02
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,26283,2015,3.059,699432733.62,669097399.49,663007501.88
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,RO,26268,2015,2.738,231503843.46,208934194.15,205678553.28
FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,RS,26284,2015,3.799,135648247.37,121564379.6,117872071.78
UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,RR,26250,2015,2.719,176137493.41,157184256.57,155596864.61
UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,AP,26286,2015,2.425,156138929.68,127113053.12,126955776.53
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB,26252,2015,3.252,654243503.93,628661797.67,621198599.52
FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,TO,26251,2015,2.822,298611305.57,275215972.61,262672726.66
FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,PE,26230,2015,3.245,209348199,177640938.82,174513826.26
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,UFABC,SP,26352,2015,4.098,248462928.93,213256699.4,201108253.33
UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,PA,26441,2015,2.473,147030313.4,125405785.09,122098642.82
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,SC,26440,2015,3.457,219850621.86,195889390.53,188579639.85
UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIFESSPA,PA,26448,2015,2.227,77781589.11,65175900.27,62642767.21
UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,BA,26447,2015,3.077,40116407.17,29980201.17,29901224.48
UNIVERSIDADE FEDERAL DO CARIRI,UFCA,CE,26449,2015,2.568,72896271.43,60091069.13,59799103.97
