Ano,Nome da IES,Sigla da IES,Categ. Administrativa,UF da IES,IGC (Contínuo),IGC (faixa)
2015,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,Privada com fins lucrativos,SP,2.7582,3
2015,UNIVERSIDADE DE MARÍLIA,UNIMAR,Privada com fins lucrativos,SP,2.9386,3
2015,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,Privada sem fins lucrativos,RS,2.6883,3
2015,UNIVERSIDADE PARANAENSE,UNIPAR,Privada sem fins lucrativos,PR,2.4628,3
2015,UNIVERSIDADE DO CONTESTADO,UNC,Privada sem fins lucrativos,SC,2.6512,3
2015,UNIVERSIDADE DE CRUZ ALTA,UNICRUZ,Privada sem fins lucrativos,RS,2.7085,3
2015,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,RS,2.4712,3
2015,UNIVERSIDADE ANHANGUERA DE SÃO PAULO - UNIAN-SP,UNIAN - SP,Privada com fins lucrativos,SP,2.3156,3
2015,UNIVERSIDADE IBIRAPUERA,UNIB,Privada sem fins lucrativos,SP,2.4064,3
2015,UNIVERSIDADE ANHEMBI MORUMBI,UAM,Privada com fins lucrativos,SP,2.9805,4
2015,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,UNIGRANRIO,Privada sem fins lucrativos,RJ,2.5923,3
2015,UNIVERSIDADE GUARULHOS,UNG,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,SP,2.2715,3
2015,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,SC,2.7882,3
2015,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Privada sem fins lucrativos,SC,2.6595,3
2015,UNIVERSIDADE DE FRANCA,UNIFRAN,Privada com fins lucrativos,SP,2.728,3
2015,UNIVERSIDADE VALE DO RIO DOCE,UNIVALE,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,MG,1.9768,3
2015,UNIVERSIDADE CATÓLICA DO SALVADOR,UCSAL,Privada sem fins lucrativos,BA,2.2231,3
2015,UNIVERSIDADE DE MOGI DAS CRUZES,UMC,Privada com fins lucrativos,SP,2.4245,3
2015,UNIVERSIDADE BRAZ CUBAS,UBC,Privada com fins lucrativos,SP,2.3921,3
2015,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC GOIÁS,Privada sem fins lucrativos,GO,2.3714,3
2015,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Privada sem fins lucrativos,RJ,3.7135,4
2015,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUI,Privada sem fins lucrativos,RS,3.0102,4
2015,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,Privada sem fins lucrativos,SP,3.6683,4
2015,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Pessoa Jurídica de Direito Público - Estadual,RJ,3.5814,4
2015,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Pessoa Jurídica de Direito Público - Federal,MA,2.8198,3
2015,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pessoa Jurídica de Direito Público - Federal,AC,2.6509,3
2015,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Pessoa Jurídica de Direito Público - Estadual,PB,2.7514,3
2015,UNIVERSIDADE DE FORTALEZA,UNIFOR,Privada sem fins lucrativos,CE,2.5527,3
2015,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Pessoa Jurídica de Direito Público - Estadual,MA,2.2767,3
2015,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Pessoa Jurídica de Direito Público - Federal,PA,3.0891,4
2015,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Pessoa Jurídica de Direito Público - Federal,RN,3.5958,4
2015,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Pessoa Jurídica de Direito Público - Federal,PR,3.7496,4
2015,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Pessoa Jurídica de Direito Público - Federal,RJ,3.3459,4
2015,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Pessoa Jurídica de Direito Público - Federal,ES,3.3175,4
2015,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,Pessoa Jurídica de Direito Público - Federal,RJ,3.4462,4
2015,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Pessoa Jurídica de Direito Público - Federal,MG,4.2079,5
2015,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Pessoa Jurídica de Direito Público - Federal,MG,3.718,4
2015,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pessoa Jurídica de Direito Público - Federal,AL,2.8325,3
2015,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Pessoa Jurídica de Direito Público - Federal,BA,3.5603,4
