name,initials,state,SIAFI,year,igc_cont_value,committed,settled,paid
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,26276,2018,3.128,1018574389.73,1000360517.65,933871747.91
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,26281,2018,3.151,807137293.78,754001701.98,700364282.82
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,26270,2018,2.929,856236633.46,804474430.57,749519533.78
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,PI,26279,2018,2.861,840744377.42,809293490.56,751216827.51
UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,26277,2018,3.432,444526817.46,430040110.9,403496862.37
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,26282,2018,3.811,940499398.77,916788979.57,849341644.33
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,26273,2018,3.453,615124826.71,588598859.04,554909939.52
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,26274,2018,3.694,1561960044.71,1513554883.92,1420324269.51
UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,MG,26285,2018,3.821,335633932.47,304374444.42,284226636.83
UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,26272,2018,2.996,883923472.28,862483110.98,803091378.63
UNIVERSIDADE FEDERAL DO ACRE,UFAC,AC,26275,2018,2.826,369076042.87,329358233.95,305992633.51
UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,26239,2018,3.258,1583149751.52,1505677726.52,1407079454.2
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,26243,2018,3.629,1875108978.8,1716398298.36,1595071654.65
UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,26241,2018,3.87,1964634938.38,1895604235.95,1782142808.18
UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,26236,2018,3.523,2414089011.04,2279389256.88,2135851954.45
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,26234,2018,3.436,1229319448.79,1118764966.33,1045552461
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,26249,2018,3.449,679175679.17,649087576.44,603875259.09
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,26238,2018,4.193,2415944515.56,2344227827.28,2192288818.25
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,26237,2018,3.753,1045060636.65,938763476.23,885151180.8
UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,26231,2018,2.985,1021096374.93,977927116.49,912333588.01
UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,26232,2018,3.707,1946483944.85,1883924356.9,1762352297.26
UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,PB,26240,2018,3.465,1839599030.63,1786888724.88,1644951036.25
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,26242,2018,3.762,1867017473.16,1806649522.75,1684544069.95
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,26244,2018,4.268,1896886455.1,1873792349.75,1759158537.76
UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,26247,2018,3.972,1414470764.54,1381153724.79,1281092157.44
UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,26233,2018,3.812,1757400491.85,1678274475.71,1561061621.68
UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,26235,2018,3.529,1526742591.7,1484707029.55,1388424773.64
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,26246,2018,4.066,1982789397.65,1857294675.67,1731709981.71
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,26245,2018,4.08,4016243944.85,3937578368.08,3686540534.17
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,26248,2018,3.477,664490426.18,631424179.68,590705800.17
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,RN,26264,2018,3.345,295645455.15,274507479.96,254360228.77
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,PA,26253,2018,3.067,264447506.31,239164441.99,223554568.68
UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,26262,2018,4.104,1388075171.19,1352071243.23,1271488115.7
UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,26263,2018,3.453,420411299.74,368039136.22,339645982.02
UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,MG,26260,2018,3.32,231569395.03,219742311.78,205376194.77
