"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"06/2019";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"326.483.850,98";"334.402.628,41";"341.804.113,06";"4.289.896,53";
"03/2019";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"282.698.323,50";"278.369.900,70";"278.609.167,03";"72.247.359,47";
"02/2019";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"30.410.083,62";"107.648.907,84";"297.660.042,34";"45.412.447,67";
"08/2019";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"84.868.794,13";"342.031.551,24";"340.010.059,38";"10.973.832,86";
"04/2019";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"557.060.800,98";"451.389.085,93";"295.924.955,62";"25.341.613,26";
"01/2019";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"400.212.569,14";"217.009.327,03";"21.700.524,61";"288.671.250,54";
"07/2019";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"598.286.080,00";"334.905.484,09";"343.406.434,51";"22.960.965,83";
"05/2019";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"108.047.839,97";"196.737.772,66";"334.884.671,55";"12.280.913,94";
"01/2019";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"121.397.747,45";"8.447.963,91";"2.273.183,02";"8.872.653,82";
"02/2019";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"- 11.375.990,02";"9.865.707,71";"8.963.605,48";"565.541,96";
"05/2019";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"1.764.563,39";"9.833.824,68";"10.252.826,70";"236.404,20";
"06/2019";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"1.660.837,91";"12.247.296,32";"9.586.436,06";"242.122,68";
"07/2019";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"1.935.681,03";"10.224.570,75";"12.463.477,16";"8.560,78";
